DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
Transit,Assetworks,AssetWorks Licensing and Support for Fleet Maintenance,22-0526,2022,49093.38,E2,,233
IT,Shaw Business Solutions,SIP Trunk Services,22-0528,2022,50000,D,,234
Water & Waste Operations,Geoware Inc.,Geoware Software Renewal for 2023,22-0531,2022,38375,D,,235
Communications,Sprout Social Inc.,Sprout Social Software,22-0532,2022,29531.78,A,,236
Transportation,Electromega Ltd.,TransSuite Software Annual Maintenance ,22-0536,2022,46529,"D, F3",,237
Technical Services,Sask Energy,RTF Natural Gas Service,22-0538,2022,71955.05,"E3, J1",,238
IT,Lenovo Canada Inc.,Data Centre Hardware Warranty,22-0540,2022,31504.07,"E1, E2",,239
Fleet,Falcon Equipment,Snow Blower,23-0094,2023,203000,C,,240
Fleet,Falcon Equipment,Henderson PWS 100G Pre-Wetting System,23-0095,2023,28500,E,,241
Transit,Cutric,Consulting Services - Zero Emissions Fleet,23-0097,2023,93257.76,E1,,242
Transportation,Canadian Pacific Railway,Monthly CP Rail Public Crossing Maintenance,23-0103,2023,77525,"E3, F3, F5",,243
S L & P,Finning Canada,Landfill Gas Facility Critical Spare Parts,23-0105,2023,47619.29,E1,,244
Fleet,Altec Industries Ltd.,Repairs to Unit 1310,23-0109,2023,35913.44,E1,,245
Corporate Revenue,Selectron Technologies,Renewal for IVR System,23-0120,2023,37410,E1,,246
Saskatoon Water,WesTech Engineering Inc.,Westech Dual Cage Drive and Technical Support,23-0134,2023,362514,E,,247
Fleet,Finning Canada,Engine Replacement for 2150 Wheel Loader,23-0138,2023,116059,E,,248
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums for 2023,23-0141,2023,1079739,"B, E1, K",,249
S L & P,Esri Canada Ltd.,ArcFM License Renewal,23-0142,2023,34208.64,E1,,250
Technical Services,D & R Towing,Additional Towing Services for 2023 Residential Snow Removal - D & R Towing,23-0143,2023,38620,"C, F4, G3",,251
Technical Services,Auto Rescue Towing,Additional Towing Services for 2023 Residential Snow Removal - Auto Rescue,23-0145,2023,34035,"C, F4, G3",,252
Sustainability,Saskatchewan Waste Reduction Council,2022-2024 Compost Coach Coordination,21-0447,2021,105450,J,,253
Saskatoon Water,Min-Chem Canada Inc.,Sodium Silicofluoride,23-0367,2023,63810,C,,254
C & D,ISN Software Canada Ltd.,ISN Annual Renewal,23-0374,2023,57950,D,,255
Transit,EQUANS Services Inc.,Overhead Door Replacement,23-0375,2023,56038.51,G,,256
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums   ,23-0376,2023,112416,K,,257
Recreation & Community Development,Intriquip Instruments Inc.,Dog Kennels,23-0380,2023,58040,C,,258
Technical Services,Aim Electric Ltd.,Supply and Install of RTC 900 AMP Switch,23-0386,2023,32570,A & C,,259
Saskatoon Water,SaskTel,SaskTel Utility Alterations for CN Industrial Drainage Improvements,23-0390,2023,55016,E3,,260
Technical Services,ATS Traffic Ltd.,Circle Drive Guardrail Repairs,23-0393,2023,28387.51,E1,,261
Sustainability,RSI Projects,Deep Energy Retrofits Feasibility Study,23-0399,2023,30000,E1 & H1,,262
Water & Waste Operations,Qed Environmental Systems,Landfill Gas Wellhead Supplies,23-0402,2023,32405,D,,263
Saskatoon Water,Rogers Wireless (Shaw Cablesystem GP),Shaw (Rogers) CN Industrial,23-0404,2023,70966.8,E3,,264
Transportation,Canadian Pacific Railway,Backlights at Hwy 1 Crossing,23-0406,2023,71210,E,,265
Human Resources,Shadow Light Consulting Inc.,Situational Leadership,23-0408,2023,75000,"E1, E2",,266
Water & Waste Operations,3Twenty Modular,Removal and Replacement of Sanitary Manhole,23-0413,2023,31714.34,C,,267
Fire,Rocky Mountain Phoenix,G1 Harness G1FS SCBA,23-0414,2023,93500,E2,,268
Saskatoon Water,University of Saskatchewan College of Engineering,Storm Wet Pond Sediment Research Project,23-0424,2023,240000,H,,269
Fire,Everbridge Inc.,Mass Notification ,23-0425,2023,43199.09,D(a&b),,270
IT,Imaginit Canada,AutoDesk License Renewal,23-0430,2023,365065.5,E1,,271
Fire,"Mid-West Sportswear, Workwear and Safety Ltd.",Clothing - Saskatoon Fire,23-0435,2023,33144,C,,272
Fusion,Workforce Software Inc.,Workforce Software AMS Support,23-0438,2023,135000,E1,,273
Transit,Polar Refrigeration Service Ltd.,Transit Bus Refrigeration Service,23-0439,2023,82896.68,C,,274
Fire,Cummins Canada ULC - Cummins Sales and Service,Fire Engine Rebuild,23-0444,2023,30726.53,"C, D, E1",,275
Saskatoon Water,Sask Energy,SaskEnergy CN Industrial Drainage Improvements,23-0447,2023,470131.4,E3,,276
Transit,Westvac Industrial Ltd.,Access Vehicle Lift Repairs and Move,23-0454,2023,58340.62,E,,277
Planning & Development,Community-University Institute for Social Research,Housing Needs Assessment Research Project,23-0458,2023,68050,J1,,278
IT,Microsoft Licensing GP,Extended Security Updates for SQL,23-0462,2023,41817.9,F3,,279
Fleet,Fer-Marc Equipment Ltd.,Two (2) Sno-Rid Attachments for Motor Graders,23-0463,2023,32700,D(a),,280
S L & P,ASL Paving Ltd.,Alley Remediation,23-0480,2023,64520.33,C,,281
City Clerk's,Open Text Corporation,Documentum Annual Software Maintenance ,23-0482,2023,166299.9,C,,282
Technical Services,Williams Scotsman of Canada Inc.,West Compost Depot Mobile Office Trailer Rental,23-0483,2023,26000,"D, E1",,283
Fleet,Redhead Equipment,Redhead Parts and Service,23-0485,2023,175000,E2,,284
Facilities Management,Johnson Controls,Metasys User Interface and Server Upgrade,23-0501,2023,43545,"D, E",,285
Technical Services,Canadian National Rail,CN Crossing Signal and Surface Rehabilitation,23-0502,2023,62422,"E3, F3,",,286
Fleet,Brandt Tractor Ltd. (Peter),Peterbilt Parts and Service,23-0504,2023,150000,"D, E",,287
Fire,Commercial Truck Equipment Co.,Aerial Apparatus Service and Repairs,23-0505,2023,30118.12,"C, E1, F3",,288
Transportation,Electromega Ltd.,TransSuite Maintenance Agreement 23/24,23-0512,2023,48060,"D, E",,289
IT,Vermont Systems Inc.,RecTrac Annual Support Contract 2023/24,23-0513,2023,27329.46,"D, E",,290
Fire,Cummins Canada Inc.,In-Frame Engine Rebuild,23-0514,2023,57231.39,K,,291
Major Projects,ATCO Structures and Logistics Ltd.,City Yards Mobile Office Trailer,23-0526,2023,54995,"D, B",,292
Facilities Management,Johnson Controls,RMAG Building Management System Service Agreement,23-0527,2023,84742,"D, E",,293
Water & Waste Operations,Loraas Disposal North Ltd.,Loraas Organics Facility,23-0528,2023,5480000,C,,294
Saskatoon Water,National Process Equipment,Grit Pump Supply,23-0529,2023,82040,E,,295
Fleet,John Deere Financial,John Deere Over Usage of Graders,23-0530,2023,180370,D,,296
WWTP,John Brooks Company Ltd.,Seepex Pump with Gearbox and Motor,23-0531,2023,77048.78,E,,297
WWTP,John Brooks Company Ltd.,Digester Seepex Sludge Pump End Only,23-0538,2023,78248.12,"E, F",,298
Corporate Revenue,"Elster Solutions Canada, Inc.",Honeywell Software Maintenance,23-0540,2023,112568,"D, E",,299
Community Standards,Calgary Parking Authority,Impound Lot Management Software Annual Fees,23-0541,2023,32656.51,"D, E",,300
Corporate Finance,Oracle Canada ULC,Oracle Licensing 2024-2025,23-0542,2023,37746.57,"D, G",,301
Water & Waste Operations,Rocky Mountain Equipment,Wishik 842-N Repair,23-0543,2023,29000,D,,302
IT,SaskTel,Fibre Optic Construction and Consultancy Service for NG911 Dispatch Center,23-0544,2023,63520,J1,,303
S L & P,Anixter Power Solutions,Padmount and Overhead Transformers,22-0064,2022,105329,C,,304
Transit,Payment in Motion Inc.,Transit Cash Fare Boxes,22-0072,2022,179700,D,,305
Transportation,Canadian Pacific Railway,Rail Crossing Warning System Upgrades,22-0077,2022,121412,"E, K",,306
Transportation,Canadian Pacific Railway,Additional Backlight for the Rail Warning System,22-0078,2022,45075,E,,307
Water & Waste Operations,Geoware Inc.,Weigh-Scale Software Annual Licenses and Maintenance,22-0079,2022,37700,D,,308
WTP,Westech Engineering Ltd.,Replacement Parts for Clarifier 4,22-0081,2022,34551,D,,309
Human Resources,The Center for Leadership Studies,Situational Leadership Coaching,22-0083,2022,70000,E,,310
Community Standards,Precise Parklink Inc,Replacement Parts for Flex Pay Stations,22-0084,2022,56311.92,"E1, F3",,311
Transit,SGI Canada,License Plate and Registration Renewals for Transit Fleet,22-0087,2022,432705.9,E3,,312
Community Standards,Calgary Parking Authority,ILOT Software Service Agreement,22-0096,2022,60000,E2,,313
City Clerk's,Western Information Management Inc.,Documentum WISPIR/WCO Integration Products,22-0098,2022,37560,E2,,314
City Soliticor's,March Canada Ltd.,Insurance Premiums for the City's 9 Policies,22-0099,2022,1019947,B,,315
Planning & Development,The Art Gallery of Saskatchewan,Remai Modern Atrium Space Agreement with River Landing,22-0105,2022,440000,B,,316
Technical Services,Canadian Pacific Railway,20th Street Crossing Rehabilitation,22-0112,2022,92701.26,"E3, F3, F5",,317
City Soliticor's,Marsh Canada Ltd.,Insurance Premium for the City's Cyber Liability Policy,22-0117,2022,89468,B,,318
Community Standards - Parking,Tannery Creek Systems Inc.,Tannery Creek - Maintenance Agreement Approval,22-0137,2022,81630,E1,,319
Finance,RBC Investor Services Trust,Investment Custody Services RBC,22-0140,2022,39600,"D, G1",,320
Solicitors Office,Marsh Canada Ltd.,Property and Machinery Insurance (Marsh Canada),22-0141,2022,41993,"B, E1",,321
Faciltiies - Project Services,AgileWalls Inc.,Architectural Walls Install - City Hall,22-0145,2022,27607.95,"D, F3",,322
Saskatoon Water,Ram Steel Ltd.,WTP Roof Hatch Install,22-0157,2022,77017.35,,,323
Forestry Farm Park & Zoo,Saskatoon Zoo Society,Saskatoon Zoo Services,22-0168,2022,167300,J2,,324
Community Standards / Police,Astro Towing (1988) Ltd,Towing Services for Parking and Police Services,22-0181,2022,750000,"Da, E1",,325
Community Standards,Precise Parklink Inc,Replacement Parts for Flex Pay Stations,22-0190,2022,95600,E1,,326
Transit,Masabi LLC,Smart Cards - Transit Mobile Ticketing,22-0200,2022,65000,"D, E2",,327
S L & P,Esri Canada Ltd.,ArcFM and Conduit Manager Licenses,22-0201,2022,45900,"D, E1",,328
Facilities Management,PWA Engineering Ltd.,PWA Arena Electrical Change Order,22-0206,2022,59263.33,,,329
C & D,American National Standards Institute,ANSI Three-Year Subscription,22-0218,2022,97500,"E1, J2",,330
WTP,GMR Electric Motors Ltd.,Transfer Pump #7 Motor Repair,22-0220,2022,27998.52,E,,331
S L & P,ABB Electrification Canada,Moulded Vacuum Interrupters,22-0221,2022,1061640,D,,332
Communications,Rawlco Radio Ltd.,Radio Commercials - Daily Road Report,22-0228,2022,33300,E1,,333
Transportation,Nova Pole International,Various Traffic Poles and Accessories,22-0243,2022,161175,C,,334
Corporate Revenue,N. Harris Computer Corporation,Smart Metering Web Portal Software,22-0251,2022,93913,"D, E",,335
Saskatoon Water,University of Saskatchewan,Outfall Catchment Bags,22-0267,2022,35000,"E, H",,336
Fire,Cummins Canada UlC,Engine Rebuild,22-0270,2022,82982.34,"C, D, E",,337
Technical Services,Shugarman Architecture & Design Inc,Downtown Renderings,22-0272,2022,46400,H4,,338
Facilities Management,Nederman Canada Ltd.,Nederman Transmitters and Receivers,22-0273,2022,34941.4,"D, E, F",,339
Fire,CentralSquare Technologies,CAD Workstation Annual Maintenance,22-0274,2022,53362.88,"C, F",,340
Fire,Aqua-Lung Canada Ltd.,Underwater Communication Devices,22-0277,2022,33927,"D, E,",,341
Water & Waste Operations,Seventy-Seven Signs Ltd.,Interpretive Signs,22-0278,2022,30164.04,E2,,342
Community Services,Saskatoon SPCA,SPCS Pound Services 2022,22-0284,2022,470712.5,"E, F, J",,343
Corporate Revenue,Metercor,Metercor Software/Hardware Maintenance ,22-0286,2022,61203,E1,,344
Fleet,Wachs Canada Ltd.,TM7 Valve Turner,22-0296,2022,36178.1,E,,345
S L & P,Powell Canada Inc.,Powell Manually-Operated Ground and Test Device,22-0301,2022,29363,E,,346
Faciltiies - Project Services,Nutrien Wonderhub,Consulting Services - Nutrien Wonderhub,22-0309,2022,142214,D,,347
Saskatoon Water,Kontzamanis Graumann Smith MacMillan Inc.,Consulting Services - Refurbishment of WWTP Boiler-room,22-0315A,2022,155018,A,,348
Recreation & Community Development,Saskatoon Animal Control Agency,Animal Control Services,22-0319,2022,835912.2,E,,349
Parks,Watermaster Irrigation Services Ltd.,Watermaster,22-0321,2022,93119,C,,350
Facilities - Project Services,14 North Construction Ltd,TCU Place - Floor Painting,20-0218,2020,45787.64,C,,351
Purchasing,Benchmark Site Services Inc.,Protective Ear Loop Masks,20-0220,2020,36630,C,,352
Purchasing,SPI Health and Safety Inc,Protective Ear Loop Masks,20-0220,2020,48840,C,,353
Purchasing,MWG Apparel Corp,Protective Ear Loop Masks,20-0220,2020,60000,C,,354
Transit,Trapeze Software Group Inc.,Trapeze Software - OPS Pay Rules Configuration,20-0221,2020,34715.25,D,,355
Saskatoon Water,Industrial Software Solutions ULC,Avantis Pro Maintenance & Support,20-0225,2020,39370.16,D,,356
Purchasing,Union Proud Canada,Hand Sanitizer Packets,20-0230,2020,39072,C,,357
S L & P,Anixer Power Solutions,Fuse Sectionalizing Cabinet,20-0233,2020,28098.54,C,,358
Technical Services,Joe Johnson Equipment Inc,Sewer Cleaning Equipment - ACAN,20-0239,2020,48798.7,E3,Yes,359
Saskatoon Water,Westburne Electric Supply (Midwest) Div of Rexel Canada Electrical,Standing Offer - Rockwell Products,20-0249,2020,1387500,E,,360
S L & P,CYME Power Engineering Software,CYME Modules Licenses,20-0250,2020,45600,E1,,361
IT,IBM Canada Ltd.,IBM Support Contract,20-0259,2020,55798.87,"E, F ",,362
IT,Microsoft Canada Inc.,Microsoft Unified Support Contract Renewal,20-0261,2020,108996.5,E1,,363
Building Standards,Imaginit Technologies ,BIM 360 Licenses,20-0267,2020,47374.93,C,,364
IT,Motorola Solutions Canada Inc.,NICE Voice Recording License & Support,20-0268,2020,59218.5,"D, E",,365
Facilities,Brunners Construction Ltd,Replace Valve on Main Drain Line at George Ward Pool,20-0279,2020,42229.95,D,,366
Transit,Trapeze Software ULC,Trapeze Suite of Products Enterprise Assessment,20-0285,2020,161047.7,D,,367
Saskatoon Water,MPE Engineering Ltd,WWTP Primary Scum System Refurbishment,20-0299,2020,34597.17,A,,368
Fire,Commercial Truck Equipment Co,Repairs to Fire Truck,20-0304,2020,28939.34,E3,,369
City Clerk's,Open Text Corporation,Documentum Licenses,20-0310,2020,83248.89,"D, E2, F3",,370
IT,Cireson,Cireson Support & Maintenance,20-0318,2020,34981.06,"D, E",,371
S L & P,Shermco Industries Canada Inc,Degasification of Transformer at Ave C Substation,20-0321,2020,28102.31,C,,372
IT,Motorola Solutions Canada Inc.,Motorola Radio Parts,20-0326,2020,150000,E,,373
Fleet,Merlin Ford Lincoln,2020 Ford Transit 350 Cargo Van,20-0327,2020,53839.56,"C, D",,374
Fire,Rescue Tools Canada,Force Spreader Rescue Tool,20-0328,2020,29857.12,E,,375
Transit,Saskatchewan Research Council,E-Bus Data Logging,20-0331,2020,60579.36,E1,,376
Facilities,GFL Environmental Inc,Firing Range Bullet Trap Cleaning,20-0335,2020,31165.18,E,,377
Sustainability,Sask Environmental Society,2020-2021 Student Action for a Sustainable Future Program,20-0357,2020,69000,J2,,378
IT,Info-Tech Research Group,Corporate Data Goverance Strategy Engagement,20-0371,2020,102675,D,,379
Transit,Cummins Canada ULC,Cummins Engine Repair Parts & Service,20-0375,2020,750000,E,,380
Technical Services,Donison & Associates Ltd,Orpheus 2.0 Camera,20-0392,2020,26925,"D,E",,381
Fusion,SAP Canada Inc.,SAP Enable Now Deployment Services,20-0397,2020,55500,"D, A",,382
Fire,Trans-Care Rescue,Paratech Shoring Equipment,20-0399,2020,44038.74,E,,383
Fleet,Redhead Equipment,Redhead Repair Parts & Service,20-0401,2020,100000,E2,,384
Fleet,Superior Truck Equipment Inc,Repairs to Automated Side Loader,20-0404,2020,101506.4,"D,E",,385
Communications & Public Engagement,Saskatoon StarPhoenix / Postmedia,Leisure Guide,20-0413,2020,300000,A,,386
Saskatoon Water,John Brooks Company Ltd,Waste Fermented Sludge Pumps,20-0415,2020,145607.6,E1,,387
IT,Motorola Solutions Canada Inc.,NICE Voice Recorder Upgrade,20-0416,2020,93974.82,E1,,388
Saskatoon Water,GFL Environmental Inc,Specialized Environmental Cleaning Services,20-0417,2020,67000,C,,389
Fleet,Frontline Truck & Trailer,Repair Parts & Service for Freightliner Trucks,20-0419,2020,100000,"D,E ",,390
Saskatoon Water,Atlantic Design Inc,Mobile Lime Dust Collection System Lease,20-0420,2020,56837,C,,391
Fire,Motorola Solutions Canada Inc.,Enable Dual Band Operation of Radios & VHF Antenna,20-0424,2020,40031.04,E1,,392
WWTP,Tundra Process Solutions Ltd.,Digester Building & North 40 Gas Detection Equipment,20-0425,2020,50416.2,E1,,393
S L & P,Dirty Devil Hydrovac Services,Hydrovac Services for S L & P for June & July,20-0429,2020,91546.97,,,394
Fleet,Brandt Tractor Ltd,John Deere Heavy Equipment Parts & Service,20-0436,2020,225000,E,,395
Transportation,ATS Traffic - Saskatchewan Ltd.,Arrow & Message Boards,20-0438,2020,205000,E,,396
Transit,Trapeze Software ULC,Trapeze OPS Web Employee Bidding & Employee Information Modules,20-0439,2020,88637.94,E1,,397
Fire,Cummins Sales and Service,Cummins Engine Rebuild,20-0461,2020,61735.03,E1,,398
Saskatoon Water,Xylem Canada Company,Primary Effluent Pump Station - 6th Pump,20-0476,2020,270606.7,E(1)(3),,399
Technical Services,Acadia Construction ,43rd Street Deep Sewer Repair,20-0478,2020,45526.5,C,,400
Facilities Management,Suer & Pollong Mechanical Partnership,Heat Exchanger Repair,24-0529,2024,35160,C,,401
Saskatoon Water,Veolia Water Technologies Teatment Solutions,Components for the UV Disinfection System,24-0537,2024,118764.9,E,,402
Transportation,Electromega Ltd.,TransSuite Annual Maintenance Agreement,24-0541,2024,49988,D,,403
Human Resources,NACTATR O/A CTIP,Trauma Informed Practices,24-0546,2024,28979.63,"D, E",,404
Saskatoon Water,Water Research Foundation,WRF Subscription / Membership,24-0547,2024,36806,"E, F",,405
S L & P,SaskPower,Padount Transformers from SaskPower,24-0548,2024,28888,C,,406
Facilities Management,SMG Operating Ltd.,Snow Clearing,24-0552,2024,140910,C,,407
Transit,Modaxo Inc.,Trapeze Payroll Configuration,24-0555,2024,74844,"D, E",,408
Clerks,Open Text Corporation,Renewal for Documentum Maintenance,24-0556,2024,178772.5,F3,,409
Revenue,Elster Solutions Canada Inc.,Honeywell Connexo NetSense SMA Support,24-0557,2024,127735.5,E,,410
Fleet,Premium Portable Washroom,Washroom Trailer Rental Purchase,24-0558,2024,40000,D,,411
Water & Waste Operations,12223155 Canada Inc. (o/a Regen Replica Systems),Disposal of HDPE Waste Carts,24-0559,2024,21840,E1,,412
Community Standards,Tannery Creek Systems Inc.,AutoChalk Licensing Renewals,25-0229,2025,225376.7,D,,413
Saskatoon Light & Power ,Elster Solutions Canada Inc.,"Supply of Smart Electricity Meters, Communication Modules, Advanced Metering Infrastructure Network Devices and Ongoing Support ",25-0135,2025,6120000,D,,414
Recreation and Community Development,Gordie How Sports Complex Management Inc.,CD Speed Skating Oval Operations,25-0077,2025,103000,K,,415
Saskatoon Water,Canadian Water Network Inc.,CWN Leadership Participation Fee,25-0078,2025,25000,"E, F",,416
Transit,Payment in Motion,Farebox Assemblies and Assiciated Hardware,25-0098,2025,82840,E1,,417
Corporate Revenue,N. Harris Computer Corporation,Extended Infrastructure Support for Metersense,25-0100,2025,57875.79,E1,,418
City Internal Auditors's Office,MNP LLP,Whistle Blower Hotline Services,25-0105,2025,25000,"D,a",,419
Transit,Masabi LLC,Masabi Electronic Validation,25-0101,2025,77890,D ,,420
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums 2025,25-0107,2025,1112282,G1,,421
Fleet,Sigma Safety Corp,Police Upfits for 10 Units,25-0117,2025,75605.1,C & D,,422
Sustainability,Honey Cut Studios,Splash and Wattie Animated Videos,25-0118,2025,35000,D,,423
Saskatoon Water,Carahsoft Technology Corp,OpenFlows Water Ultimate Migration 2 SELECT Subscription,25-0120,2025,38379.12,E,,424
Saskatoon Land,Marsh Canada Ltd.,Insurance Costs 2024 - 2025 Saskatoon Land,25-0123,2025,58413,G1,,425
Saskatoon Water,Geoware Inc.,Geoware Maintenance & Support,25-0132,2025,57725,"D,a,b",,426
Fire,STC Urban First Nations Services,Staffing and Supplies for CUMFI Washroom,25-0137,2025,338804.5,G,,427
Community Standards,Calgary Parking Authority,iLot Software,25-0150,2025,37589.92,E1,,428
Fire,Medteq Solutions Ca Ltd.,VectorSolutions Rostering Module,25-0156,2025,35931.4,D,,429
City Clerks,Gates Law,Integrity Commissioner Services,25-0165,2025,50000,G4,,430
City Clerks,Escribe Software Ltd.,Escribe Annual Software,25-0145,2025,61673,"D,a",,431
Roadways & Support Services,Assetworks,M5 License Renewal,25-0146,2025,74967.51,"D,a",,432
Facilities Management ,Prairie Controls Ltd.,Non-Standard for Prairie Controls,25-0167,2025,47800,E3,,433
Saskatoon Water,AECOM Canada Ltd.,CIBI Fees,25-0169,2025,61800,E1,,434
Digital Technology ,Vadis Consulting Group,CIBI Fees,25-0170,2025,50400,"D,a",,435
Digital Technology ,Payment in Motion Inc.,PIM Software Maintenance,25-0175,2025,87300,E2,,436
S L & P,Esri Canada,ArcFM Licences,25-0172,2025,39110,E1,,437
Digital Technology ,IBM Canada Ltd.,Tape Drives,25-0177,2025,33605.78,E2,,438
Saskatoon Water,Siemens Canada Ltd.,1964 Backwash Pump VFD Cap Rep & Service,25-0187,2025,27664.71,D/E,,439
Roadways & Support Services,Nordic Industries,Preventative Maintenance Servicing,25-0191,2025,25000,C,,440
C & D,Canadian National Rail Non-Freight Management,Canadian Railway Data Processing and Monthly Maintenance,25-0185,2025,693700,E,,441
Saskatoon Water,BGE Indoor Air Quality Solutions Ltd,Purafilter Chlorine Scrubber,25-0206,2025,199385.3,E1,,442
Transportation,Atco Structures & Logistics Ltd,Trailer Rentals,25-0207,2025,27300,D,,443
Finance,RBC Investors Services Trust,Investment Custody Services,25-0179,2025,49999.92,G1,,444
Recreation and Community Development,PlanetAir Turf Products LLC,Supply of Turf Aeration Machine,25-0213,2025,30000,"E2,3",,445
Saskatoon Water,Thurston Machine Inc.,Residual Fines Disposal System Rental,25-0228,2025,291427,E,,446
Recreation and Community Development,F3 Recreation,Contract Manager- Gordon Howe Campground,25-0140,2025,168992,A,,447
City Clerks,Western Information Management Inc.,Software Renewals,25-0238,2025,39180,F,,448
Digital Technology ,"Global, LLC",Articulate 360 Teams,25-0243,2025,31479,D,,449
Human Resources,The Conference Board of Canada,Subscription to Conference Board of Canada,25-0240,2025,28880,D / K / J,,450
Saskatoon Water,Ayyeka Inc.,Water and Sewer Data Collection,25-0089,2025,61160,E,,451
Human Resources,TCU Place,TCU Place - Venue Rental,25-0254,2025,47154.77,J1,,452
Sustainability,Waterplay Solutions Corp,Nozzles,25-0257,2025,37170.84,E,,453
Technical Services,Canadian Pacific Railway,CPR Ave I Rail Crossing,25-0250,2025,162673,E3,,454
C & D,Canadian Pacific Railway,CPKC ROW Access Applications,25-0262,2025,26390,F5,,455
Fleet,Cowan Graphics Inc.,Graphics for Saskatoon Police Service Vehicles,25-0266,2025,160000,E1,,456
